Start,End,Open,High,Low,Close,Volume,Market
8/5/2012,8/6/2012,10.87,10.87,10.87,10.87,0,0
8/4/2012,8/5/2012,10.984,10.984,10.984,10.984,0,0
8/3/2012,8/4/2012,10.97,10.97,10.97,10.97,0,0
8/2/2012,8/3/2012,10.53,10.53,10.53,10.53,0,0
8/1/2012,8/2/2012,9.5503,9.5503,9.5503,9.5503,0,0
7/31/2012,8/1/2012,9.35,9.35,9.35,9.35,0,0
7/30/2012,7/31/2012,9.098,9.098,9.098,9.098,0,0
7/29/2012,7/30/2012,8.7103,8.7103,8.7103,8.7103,0,0
7/28/2012,7/29/2012,8.8881,8.8881,8.8881,8.8881,0,0
7/27/2012,7/28/2012,8.9,8.9,8.9,8.9,0,0
7/26/2012,7/27/2012,8.9,8.9,8.9,8.9,0,0
7/25/2012,7/26/2012,8.8,8.8,8.8,8.8,0,0
7/24/2012,7/25/2012,8.6,8.6,8.6,8.6,0,0
7/23/2012,7/24/2012,8.4457,8.4457,8.4457,8.4457,0,0
7/22/2012,7/23/2012,8.4096,8.4096,8.4096,8.4096,0,0
7/21/2012,7/22/2012,8.8455,8.8455,8.8455,8.8455,0,0
7/20/2012,7/21/2012,8.52,8.52,8.52,8.52,0,0
7/19/2012,7/20/2012,8.87,8.87,8.87,8.87,0,0
7/18/2012,7/19/2012,9.1098,9.1098,9.1098,9.1098,0,0
7/17/2012,7/18/2012,8.8,8.8,8.8,8.8,0,0
7/16/2012,7/17/2012,8.4996,8.4996,8.4996,8.4996,0,0
7/15/2012,7/16/2012,7.621,7.621,7.621,7.621,0,0
7/14/2012,7/15/2012,7.5421,7.5421,7.5421,7.5421,0,0
7/13/2012,7/14/2012,7.6651,7.6651,7.6651,7.6651,0,0
7/12/2012,7/13/2012,7.7644,7.7644,7.7644,7.7644,0,0
7/11/2012,7/12/2012,7.15,7.15,7.15,7.15,0,0
7/10/2012,7/11/2012,7.1999,7.1999,7.1999,7.1999,0,0
7/9/2012,7/10/2012,7.0215,7.0215,7.0215,7.0215,0,0
7/8/2012,7/9/2012,6.799,6.799,6.799,6.799,0,0
7/7/2012,7/8/2012,6.7621,6.7621,6.7621,6.7621,0,0
7/6/2012,7/7/2012,6.6481,6.6481,6.6481,6.6481,0,0
7/5/2012,7/6/2012,6.67,6.67,6.67,6.67,0,0
7/4/2012,7/5/2012,6.5101,6.5101,6.5101,6.5101,0,0
7/3/2012,7/4/2012,6.4499,6.4499,6.4499,6.4499,0,0
7/2/2012,7/3/2012,6.76,6.76,6.76,6.76,0,0
7/1/2012,7/2/2012,6.629,6.629,6.629,6.629,0,0
